STUDENT_LIST,REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,CAMPUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,RESIDENCE,ACCOMMODATION Type,FEES,EXPECTED FEES(%) - RAW,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX)
List15,J23B06/001,A10001,Janet Akena,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,Mukono,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,NR,None,70%,70,2683000,1878100,804900
List15,J23B06/005,A10055,Mary Ntambi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,Mukono,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,R,Ordinary,55%,55,3333000,1833150,1499850
List15,J23B06/009,A10097,Isabella Lewis,Tanzanian,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,4,1,7,Retake/Probation,Normal,Mukono,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based,NR,None,85%,85,2683000,2280550,402450
List15,J24B06/001,A10004,Victor Opio,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Leave of Absence,Normal,Mukono,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,NR,None,35%,35,2683000,939050,1743950
List15,J24B06/003,A10014,Gloria Bagiire,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,R,Executive,40%,40,4183000,1673200,2509800
List15,J24B06/005,A10035,Denis Nanyonjo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,R,Executive,80%,80,4183000,3346400,836600
List15,J24B06/007,A10040,Ahmed Hall,Sudanese,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,R,Ordinary,30%,30,3333000,999900,2333100
List15,J24B06/009,A10046,Oliver Amanya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,NR,None,75%,75,2683000,2012250,670750
List15,J24B06/011,A10065,Akello Abigaba,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,NR,None,35%,35,2683000,939050,1743950
List15,J24B06/013,A10076,Nancy Kahinda,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,R,Executive,70%,70,4183000,2928100,1254900
List15,J24B06/015,A10081,Joy Kisembo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Late,Mukono,Hoima Secondary School,Hoima,Tier 2,Public/Mixed,NR,None,35%,35,2683000,939050,1743950
List15,J24B06/018,A10115,Noah Johnson,Kenyan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,Mukono,Kibale Secondary School,Kibale,Tier 2,Public/Mixed,R,Ordinary,40%,40,3333000,1333200,1999800
List15,J25B06/002,A10030,Gift Bamwine,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,1,3,Continuing,Normal,Mukono,Pakwach Secondary School,Nebbi,Tier 2,Public/Mixed,NR,None,100%,100,2683000,2683000,0
