REG. NO.,ACC. NO.,NAME,NATIONALITY,FACULTY,DEPARTMENT,PROGRAM ID,PROGRAM,YEAR,SEMESTER,TOTAL REGISTRATIONS,STUDENT STATUS,REGISTRATION TYPE,RESIDENCE,ACCOMMODATION Type,CAMPUS,HALL,BLOCK,BED,MEALS STATUS,HIGH_SCHOOL,DISTRICT,SCHOOL_TIER,OWNERSHIP,SCHOLARSHIP TYPE,SCHOLARSHIP NAME,FEES,EXPECTED FEES(%) - RAW,EXPECTED FEES(%) - RANGE,TOTAL EXPECTED FEES (UGX),AMOUNT PAID (UGX),TUITION BALANCE (UGX),ACADEMIC OFFICER,ACCOMMODATION OFFICER,ACCOUNTS OFFICER,FINANCIAL AID OFFICER,RETAKE COURSES
J23B06/001,A10001,Janet Akena,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,NR,None,Mukono,,,,Not Applicable,Arua Public Secondary School,Arua,Tier 2,Public/Mixed,Merit Award,Integrity Award,70%,70,51–75%,2683000,1878100,804900,Adong Magezi,Asiimwe Okello,Mercy Yiga,Yusuf Akello,"BOD0603, BOD0606"
J23B06/005,A10055,Mary Ntambi,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,2,6,Finalist,Normal,R,Ordinary,Mukono,Alpha Hall,D,D-03,Not Subscribed,Gomba Secondary School,Gomba,Tier 2,Public/Mixed,,,55%,55,51–75%,3333000,1833150,1499850,Nabirye Kaddu,Ian Kayemba,Nakkazi Nandutu,Ronald Walakira,"BOD0603, BOD0604"
J23B06/009,A10097,Isabella Lewis,Tanzanian,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,4,1,7,Retake/Probation,Normal,NR,None,Mukono,,,,Not Applicable,St. Charles Lwanga Secondary School,Kasese,Tier 2,Private/Faith-based,,,85%,85,76–100%,2683000,2280550,402450,Lydia Ainomugisha,George Natukunda,Rebecca Komakech,Namagembe Bamwine,BOD0403
J24B06/001,A10004,Victor Opio,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,2,2,4,Leave of Absence,Normal,NR,None,Mukono,,,,Not Applicable,Tororo Girls School,Tororo,Tier 2,Private/Faith-based,,,35%,35,26–50%,2683000,939050,1743950,Atwine Jjumba,Ben Byaruhanga,Abel Kiconco,Sarah Nakacwa,"BOD0402, BOD0407"
J24B06/003,A10014,Gloria Bagiire,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Executive,Mukono,Beta Hall,A,A-34,Subscribed,St. Leo's College Fort Portal,Fort Portal,Tier 2,Private/Faith-based,,,40%,40,26–50%,4183000,1673200,2509800,Joseph Ssempijja,Violet Kisembo,Violet Mukasa,Edith Byaruhanga,"BOD0403, BOD0406, BOD0407"
J24B06/005,A10035,Denis Nanyonjo,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Executive,Mukono,Alpha Hall,D,D-60,Subscribed,Kibuli Secondary School,Wakiso,Tier 1,Public/Mixed,,,80%,80,76–100%,4183000,3346400,836600,Atwine Mayanja,Michael Nakimera,Edith Bbaale,Abraham Nsubuga,"BOD0201, BOD0204"
J24B06/007,A10040,Ahmed Hall,Sudanese,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Ordinary,Mukono,Beta Hall,D,D-39,Not Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,30%,30,26–50%,3333000,999900,2333100,Saul Ninsiima,Tabitha Muzira,Ruth Nakitto,Sophia Mukwaya,"BOD0401, BOD0402"
J24B06/009,A10046,Oliver Amanya,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Iganga Secondary School,Iganga,Tier 2,Public/Mixed,,,75%,75,51–75%,2683000,2012250,670750,Nakanwagi Ainomugisha,Elizabeth Kiggundu,Gift Nabweteme,Jacob Ainomugisha,"BOD0405, BOD0406"
J24B06/011,A10065,Akello Abigaba,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,NR,None,Mukono,,,,Not Applicable,Lyantonde Secondary School,Lyantonde,Tier 2,Public/Mixed,,,35%,35,26–50%,2683000,939050,1743950,Peace Sserugo,Maria Akello,Nakato Namugga,Shamim Barasa,"BOD0403, BOD0404, BOD0407"
J24B06/013,A10076,Nancy Kahinda,Ugandan,Bishop Tucker School of Divinity and Theology,Divinity and Theology,6,Bachelor of Divinity,3,1,5,Continuing,Normal,R,Executive,Mukono,Delta Hall,D,D-56,Subscribed,Uganda Christian University High School,Mukono,Tier 2,Private/Faith-based,,,70%,70,51–75%,4183000,2928100,1254900,Vanessa Nabirye,Lloyd Kamanzi,Nabulime Namaganda,Ruth Lwanga,"BOD0402, BOD0404, BOD0406"
